text,label
improve digital,Other
improve digital limited,Other
in the press,Other
independent press standards organisation (ipso,Other
individual cookies settings,Cookies settings
individual privacy preferences,Cookies settings
infinity tracking,Other
info,Cookies settings
information,Cookies settings
information about cookies,Cookies settings
information about our use of cookies,Other
information about the provider,Other
information and settings,Cookies settings
information commissioner's office,Other
information for schools,Other
information governance and data protection,Other
information here,Cookies settings
information on our use of cookies,Other
information on the use of cookies,Other
information storage and access,Other
information that may be used,Other
information we collect,Other
informi.co.uk/cookie-policy,Other
insight and analytic cookies,Other
instagram,Other
install gallery,Other
installation services,Other
instant loans,Other
intel cookie notice,Other
intel privacy notice,Other
interest-based ads notice,Other
international,Other
international holocaust remembrance alliance (ihra) definition of antisemitism,Other
internet browser cookies- what they are and how to manage them,Other
internet explorer,Other
investor information,Other
investor resources,Other
io_temp,Other
ip transit,Other
is available here,Other
it support,Other
it's ok,Accept
its partners,Other
itv insights,Other
jet portal login,Other
jobs,Other
join for free,Other
join our team,Other
join today,Other
join us,Other
joomdev,Other
joomla template,Other
jquery,Other
jsdelivery,Other
jungle creations,Other
just the essential ones,Reject
k,Other
keep current preferences,Save cookie settings
keep shopping,Other
keep these cookies,Save cookie settings
kissmetrics,Other
know more,Cookies settings
kpmg uk's online privacy statement,Other
krux,Other
kuula,Other
learn about cookies,Other
learn about how we use them,Other
learn about our policies,Other
learn cookies,Other
learn more,Cookies settings
learn more & customise,Cookies settings
learn more about advertising cookies,Other
learn more about analytics cookies,Other
learn more about cookies,Other
learn more about how we use cookies,Other
learn more about it,Cookies settings
learn more about necessary cookies,Other
learn more about our cookie policy,Other
learn more about our cookies,Other
learn more about the cookies we use,Other
learn more about this provider,Other
learn more about website advertising,Other
learn more and change settings,Cookies settings
learn more and customise,Cookies settings
learn more and customize,Cookies settings
learn more and manage your cookies,Cookies settings
learn more here,Cookies settings
learn more | settings,Cookies settings
"learn more, including how to manage your privacy settings",Cookies settings
learn more/manage cookies,Cookies settings
learn to change your settings,Cookies settings
learn why and how here,Other
learning,Other
leave,Other
legal,Other
legal and regulatory information,Other
legal description,Other
legal information,Other
legal notice,Other
legitimate interest,Other
let me choose,Cookies settings
let me choose my cookies,Cookies settings
let me decide,Cookies settings
let's get started,Other
lets go,Accept
let’s go,Accept
life in london,Other
link,Other
linkedin,Other
linkedin privacy policy,Other
list of cookies,Other
list of iab vendors,Other
list of partners,Other
list of partners (vendors,Other
live chat,Other
liveintent inc,Other
liver,Other
loans for bad credit,Other
local storage,Other
locale identification cookies,Other
log in,Other
log in as a business,Other
log in as a consumer,Other
login,Other
london data centre,Other
lta advantage account terms & conditions,Other
lta immigration endorsement policy,Other
made media ltd,Other
made to order posters,Other
malta,Other
managae cookies,Cookies settings
manage,Cookies settings
manage  my preferences,Cookies settings
manage additional cookies,Cookies settings
manage choices,Cookies settings
manage consent,Cookies settings
manage consent preferences,Cookies settings
manage consents,Cookies settings
manage cookie preferences,Cookies settings
manage cookie selection,Cookies settings
manage cookie settings,Cookies settings
manage cookies,Cookies settings
manage cookies and learn more,Cookies settings
manage cookies here,Cookies settings
manage cookies in your browser,Cookies settings
manage cookies settings,Cookies settings
manage decisions,Cookies settings
manage facebook ad settings,Cookies settings
manage my choices,Cookies settings
manage my cookies,Cookies settings
manage my preferences,Cookies settings
manage my settings,Cookies settings
manage options,Cookies settings
manage preference,Cookies settings
manage preferences,Cookies settings
manage preferences & view cookie policy,Cookies settings
manage settings,Cookies settings
manage tracking,Cookies settings
manage vendors,Cookies settings
manage your consent,Cookies settings
manage your consents,Cookies settings
manage your cookie preferences,Cookies settings
manage your cookie settings,Cookies settings
manage your cookies,Cookies settings
manage your own settings,Cookies settings
manage your preferences,Cookies settings
manage your privacy settings,Cookies settings
manage your settings,Cookies settings
manage your settings click here,Cookies settings
managecookies,Cookies settings
managing your cookie settings,Cookies settings
manfactory,Other
manual setting,Cookies settings
manually manage cookies,Cookies settings
marketing,Other
marketing and advertising,Other
marketing and other products,Other
marketing and personalization,Other
marketing and social networks,Other
marketing cookies,Other
"marketing: marketing cookies like those set by the third party technologies we use on our site such as google analytics and youtube and used to display more relevant, engaging and timely ads on other sites that you might visit",Other
marketo,Other
mcgraw hill privacy center,Other
meaning,Other
measurement,Other
mediamath inc,Other
medway county council,Other
meer informatie over deze aanbieder,Other
meet the team,Other
membership,Other
mention me,Other
menu,Other
merkle,Other
meta platform inc,Other
"meta platforms, inc",Other
microsoft,Other
microsoft corporation,Other
microsoft edge,Other
microsoft internet explorer,Other
"microsoft, bing - privacy policy",Other
midlands data centre,Other
modify cookie settings,Cookies settings
modify my choices,Cookies settings
monotype,Other
more,Cookies settings
more about,Other
more about cookies,Other
more about cookies and how to change your settings,Cookies settings
more about our cookies,Other
more about these cookies,Other
more choices,Cookies settings
more details,Cookies settings
more details on how we are using cookies,Other
more info,Cookies settings
more info here,Cookies settings
more info on our cookie policy,Other
more info v,Cookies settings
more information,Cookies settings
more information about cookies,Other
more information about cookies here,Other
more information about how you can control your browser cookies is available on our privacy page,Other
more information about pearson cookie policy,Other
more information about your privacy,Other
more information can be found in our privacy policy and cookies,Other
more information on cookies,Other
more information on giving consent to cookies,Other
more information on our use of cookies,Other
more information on pearson cookie policy,Other
more information on the cookies we use,Other
more news,Other
more on how we use cookies,Other
more options,Cookies settings
more options and information,Cookies settings
more sds policies,Other
motability,Other
mozilla firefox,Other
much loved,Other
my account,Other
my choices,Cookies settings
my cookie preferences,Cookies settings
my options,Cookies settings
my selection statigen,Other
my settings,Cookies settings
mydistrict,Other
na,Other
nativo,Other
ndna terms and conditions,Other
ndp studio,Other
necessary,Other
necessary cookies,Other
necessary cookies are absolutely essential for the website to function properly. this category only includes cookies that ensures basic functionalities and security features of the website. these cookies do not store any personal information,Other
necessary cookies only,Reject
necessary only,Reject
network advertising initiative,Other
network advertising preferences manager,Other
"neustar, inc",Other
new car awards,Other
new car deals,Other
new customer? sign up,Other
new relic,Other
news,Other
news & blogs,Other
news centre,Other
newsletter,Other
next,Other
"nextroll, inc privacy notice",Other
"nextroll, inc's trust center",Other
nhs cheshire and merseyside becomes statutory organisation,Other
no,Reject
no guarantor loans,Other
no i decline,Reject
no problem,Accept
no space for hate project,Other
no thank you,Reject
no thanks,Reject
"no thanks, only accepted",Reject
"no thanks, only technical cookies",Reject
no to cookies,Reject
no worries,Accept
"no, adjust",Cookies settings
"no, decide individually",Cookies settings
"no, do not use analytics cookies",Reject
"no, give me more info",Cookies settings
"no, give me more information",Cookies settings
"no, give me more information about cookies",Cookies settings
"no, go to settings",Cookies settings
"no, i decline",Reject
"no, i do not accept cookies for this site",Reject
"no, i don't agree",Reject
"no, i want to find out more",Cookies settings
"no, i want to reject all cookies",Reject
"no, manage cookies",Cookies settings
"no, manage my settings",Cookies settings
"no, take me to cookie settings",Cookies settings
"no, take me to settings",Cookies settings
"no, thanks",Reject
"no, that's not okay",Reject
no. take me to settings,Cookies settings
no; give me more information,Cookies settings
non necessary,Other
non-essential,Other
non-essential cookies,Other
non-necessary,Other
north east lincolnshire county council,Other
northamptonshire county council,Other
not agree,Reject
not now,Close/Continue without accepting
not voting,Other
"not yet, i'd like to learn more first",Cookies settings
of which:,Other
off,Other
official google adsense privacy faq,Other
official google analytics page,Other
ok,Accept
ok agree,Accept
ok continue,Accept
ok got it,Accept
ok to continue,Accept
ok to cookies,Accept
ok to use analytics cookies,Accept
ok to use our recommended settings,Accept
ok with me,Accept
"ok, accept all",Accept
"ok, accept all cookies",Accept
"ok, accept everything",Accept
"ok, continue",Accept
"ok, continue to site",Accept
"ok, continue to website",Accept
"ok, got it",Accept
"ok, hide this message",Accept
"ok, i accept",Accept
"ok, i agree",Accept
"ok, i understand",Accept
"ok, i've understood",Accept
"ok, no problem",Accept
"ok, thanks",Accept
"ok,i agree",Accept
ok. got it,Accept
okay,Accept
"okay thanks, i understand",Accept
okay to continue,Accept
"okay, got it",Accept
"okay, i accept",Accept
"okay, i agree",Accept
"okay, thank you",Accept
"okay, thanks",Accept
omnystudio,Other
on,Other
on this page,Other
online advertising,Other
only accept essential,Reject
only accept marketing cookies,Reject
only accept necessary cookies,Reject
only accept required cookies,Reject
only accept technically necessary cookies,Reject
only allow essential cookies,Reject
only allow necessary cookies,Reject
only essential,Reject
only essential cookies,Reject
only essentials,Reject
only neccesary,Reject
only necessary,Reject
only necessary cookies,Reject
only required cookies,Reject
only the necessary cookies,Reject
only use essential cookies,Reject
only use necessary cookies,Reject
onthegosystems ltd,Other
open bidding,Other
open cookie policy,Other
open cookie preferences,Cookies settings
open cookie settings,Cookies settings
opera,Other
opera software ireland limited,Other
opportunities at the guild,Other
opt in,Accept
opt in to analytics,Accept
opt out,Reject
opt out of google analytics,Reject
opt out of google analytics cookies,Reject
opt-out,Reject
optanonalertboxclosed,Other
optanonconsent,Other
opted-out,Other
optimizely,Other
optional cookies,Other
options,Cookies settings
or accept and close,Accept
or select your own preferences,Cookies settings
oracle corporation,Other
order history,Other
organizer cookies,Other
ortec b.v,Other
other,Other
other cookies,Other
other external services,Other
other options,Cookies settings
other uncategorised cookies are those that are being analysed and have not been classified into a category as yet,Other
other uncategorized cookies are those that are being analyzed and have not been classified into a category as yet,Other
others,Other
our alumni,Other
our cookie information page,Other
our cookie notice,Other
our cookie page,Other
our cookie policy,Other
our cookie policy here,Other
our cookie policy information,Other
our cookies,Other
our cookies and how to manage them,Other
our cookies notice,Other
our cookies page,Other
our cookies policy,Other
our cookies statement,Other
our corporate data privacy notice,Other
our departments,Other
our full cookie policy,Other
our full privacy policy,Other
our partners,Other
our people,Other
our policies,Other
our policy,Other
our privacy policy,Other
our services,Other
"our site uses first and third party cookies and other technologies so that we  can remember you,  understand how you use our site and our surveys and prevent fraud. in addition, our third party partners use or read cookies or similar technologies through our site to better understand your web-browsing activities as part of the online ad tracking effectiveness program.  as participants in that program, our third party partners drop or read a cookie or similar technology within your browser to enable us to send surveys to you regarding advertisements that are displayed during your web browsing activities",Other
"our site uses first and third party cookies and other technologies so that we can remember you, understand how you use our site and our surveys and to prevent fraud. in addition, our third party partners use or read cookies or similar technologies through our site to better understand your web-browsing activities as part of the online ad tracking effectiveness program. as participants in that program, our third party partners drop or read a cookie or similar technology within your browser to enable us to send surveys to you regarding advertisements that are displayed during your web browsing activities",Other
our use of cookies,Other
our use of cookies; your choices,Other
our visiting restrictions,Other
our work,Other
outbrain inc,Other
outgrow,Other
outlets,Other
over,Other
over here,Other
overview,Other
owner reviews,Other
oxfam gb cookie policy,Other
oxfinder,Other
page,Other
paperform,Other
part exchange,Other
partners,Other
pay as you go,Other
pay your subscription,Other
payday loans,Other
payday loans for bad credit,Other
paypal,Other
performance,Other
performance and analytics,Other
performance and personalization,Other
performance cookies,Other
performance cookies are used to understand and analyze the key performance indexes of the website which helps in delivering a better user experience for the visitors,Other
performance/analytics,Other
personal banking,Other
personalisation,Other
personalisation cookies,Other
personalise settings,Cookies settings
personalization,Other
personalize,Cookies settings
personalize your choice,Cookies settings
personalized content,Other
pinterest,Other
pipedrive,Other
player,Other
playitforward,Other
playwire llc,Other
please click here,Cookies settings
please click to read our cookie policy,Other
please give me more information,Other
please read our cookie policy,Other
please read our cookie policy in full,Other
please sign in,Other
please think about your privacy - clear browsing history if necessary. click for quick exit,Other
please view our cookie policy for further details,Other
please visit our cookies page,Other
plista gmbh,Other
podbean,Other
policies,Other
policies & rules,Other
policies and procedures,Other
policies page,Other
policy,Other
policy details,Other
policy page,Other
politica de privacidade,Other
politique de confidentialite,Other
portfolio,Other
posted 10 hours ago,Other
posted on jul,Other
powered by,Other
powered by cookie information,Other
powered by cookie-script,Other
powered by cookiebot,Other
preference center,Cookies settings
preference cookies,Other
"preference cookies are used to store user preferences to provide content that is customized and convenient for the users, like the language of the website or the location of the visitor",Other
preferences,Cookies settings
"preferences: preference cookies enable our website to remember information that changes the way the website behaves or looks for you, like your preferred consent setting with cookies and sometimes the site's appearance and features available",Other
press,Other
press centre,Other
press office,Other
prezi,Other
privacy,Other
privacy  policy,Other
privacy & cookie,Other
privacy & cookie policy,Other
privacy & cookies,Other
privacy & cookies policy,Other
privacy & data protection policy,Other
privacy & gdpr,Other
privacy and accessibility,Other
privacy and cookie notice,Other
privacy and cookie policy,Other
privacy and cookie policy here,Other
privacy and cookie statement,Other
privacy and cookies,Other
privacy and cookies information,Other
privacy and cookies policy,Other
privacy and cookies statement,Other
privacy and data processing policy,Other
privacy and legal,Other
privacy and terms,Other
privacy and terms website,Other
privacy centre,Other
privacy controls,Cookies settings
privacy information,Other
privacy notice,Other
privacy overview,Other
privacy page,Other
privacy policies,Other
privacy policies and terms,Other
privacy policy,Other
privacy policy & cookies,Other
privacy policy (it opens in a new window,Other
privacy policy (opens in new window,Other
privacy policy and cookies,Other
privacy policy and terms and conditions,Other
privacy policy and use of cookies,Other
privacy policy for complainants,Other
privacy policy for further infromation,Other
privacy policy for members,Other
privacy policy for non-members,Other
privacy policy here,Other
privacy policy page,Other
privacy policy to learn more,Other
privacy preferences,Cookies settings
privacy settings,Cookies settings
privacy statement,Other
"privacy, security and cookie notice",Other
private charter,Other
private jet charter,Other
proceed,Accept
proceed with these settings,Accept
process data,Other
processing of personal data,Other
product support,Other
program policy,Other
prohibit,Reject
prohibit all cookies,Reject
prospect privacy & cookie policy,Other
protection declaration,Other
psyma,Other
publications and statistics,Other
published a list of detailed information on the cookies the cornwall council websites use,Other
publisher,Other
pubmatic inc,Other
pure chat,Other
purposes,Other
purposes and features,Other
purposes for storing information,Other
px suite,Other
qualaroo,Other
quality unit llc,Other
quick loans,Other
rafflecopter,Other
rakuten group,Other
random number generator,Other
read about cookies,Other
read about cookies we use,Other
read about how we use cookies,Other
read about our cookie policy,Other
read about our cookies,Other
read about our privacy policy,Other
read about the cookies on our site,Other
read about them here,Other
read cookie policy,Other
read cookies policy,Other
read description,Other
read here,Other
read middlesex university's latest review report,Other
read more,Other
read more about cookies,Other
read more about cookies here,Other
read more about google's terms here,Other
read more about our cookie policy,Other
read more about our cookie policy here,Other
read more about our cookies,Other
read more about our cookies here,Other
read more about our use of cookies,Other
read more about siteimprove analytics,Other
read more about the cookies used here,Other
read more about the site cookies,Other
read more about these purposes,Other
read more about what cookies we use here,Other
read more about your options,Other
read more here,Other
read our cookie                policy,Other
read our cookie and privacy policy,Other
read our cookie declaration,Other
read our cookie notice,Other
read our cookie policy,Other
read our cookie policy and how to disable them,Other
read our cookie policy for more information,Other
read our cookie policy here,Other
read our cookie statement,Other
read our cookies policy,Other
read our cookies policy and how to manage them,Other
read our full cookie policy,Other
read our full cookie policy here,Other
read our full privacy notice here,Other
read our full privacy policy & cookie information here,Other
read our policy,Other
read our policy here,Other
read our policy now,Other
read our privacy & cookie policy,Other
read our privacy and cookie policy,Other
read our privacy policy,Other
read our privacy policy to learn more,Other
read our updated privacy,Other
read our updated privacy policy on how we treat your data with tlc,Other
read our website privacy policy for full details,Other
read policy,Other
read terms and service,Other
read the blue cross cookie policy,Other
read the full cookie notice,Other
read the google analytics use of cookies policy here,Other
read the overview of advertising and privacy at google,Other
read the privacy policy,Other
read the youtube privacy policy,Other
read vimeo's privacy policy,Other
read what they do here,Other
receive and use automatically-sent device characteristics for identification,Other
recipes,Other
recruitment privacy policy,Other
recycling,Other
refer to our cookie policy,Other
referralcandy,Other
refuge.org.uk/cookie-policy,Other
refuse,Reject
refuse all,Reject
refuse all cookies,Reject
refuse cookies,Reject
refuse cookies & close website,Reject
refuse non-necessary cookies,Reject
refuse or set up,Cookies settings
refused,Reject
register,Other
registered with fundraising regulator,Other
registration of a new fitting station,Other
regular events hosted by the college,Other
reject,Reject
reject additional cookies,Reject
reject all,Reject
reject all cookies,Reject
reject all non-essential cookies,Reject
reject all optional,Reject
reject analytical cookies,Reject
reject analytics,Reject
reject analytics cookie,Reject
reject analytics cookies,Reject
reject and leave site,Reject
reject cookies,Reject
reject non essential,Reject
reject non-essential,Reject
reject non-essential cookies,Reject
reject non-necessary,Reject
reject optional,Reject
reject optional cookies,Reject
reject optional cookies and close,Reject
reject the use of all cookies,Reject
reject them,Reject
reject unnecessary cookies,Reject
reject unrequired cookies,Reject
reject/customise,Cookies settings
remember my preference,Save cookie settings
remote support,Other
replace base,Other
reply,Other
report,Other
report a problem with this window,Other
report it here,Other
request your data,Other
required cookies,Other
reset,Other
responsible lending,Other
retailer awards,Other
returns / faulty products,Other
retweet,Other
review,Cookies settings
review and set individual cookie settings here,Cookies settings
review cookie policy,Other
review cookie settings,Cookies settings
review cookies,Other
review options,Cookies settings
review our cookie policy,Other
review our policy,Other
review our use of cookies and set your preferences,Cookies settings
review our website privacy policy,Other
review settings,Cookies settings
review your privacy settings,Cookies settings
revoke cookies,Reject
revoke my cookie acceptance,Reject
rewired,Other
roku inc,Other
roxr software ltd,Other
rwy’n deall / i understand,Other
safari,Other
safety,Other
sale - up to 50% off,Other
salesfire,Other
salesforce,Other
salesforce interaction studio(formerly evergage,Other
salesforce.com inc,Other
same day loans,Other
save,Save cookie settings
save & accept,Save cookie settings
save & accept enabled settings,Save cookie settings
save & allow my selection,Save cookie settings
save & close,Save cookie settings
save & close privacy settings,Save cookie settings
save & continue,Save cookie settings
save & exit,Save cookie settings
save & submit preferences,Save cookie settings
save + exit,Save cookie settings
save advanced cookie settings,Save cookie settings
save and accept,Save cookie settings
save and close,Save cookie settings
save and close cookie control,Save cookie settings
save and confirm,Save cookie settings
save and continue,Save cookie settings
save and exit,Save cookie settings
save and finish,Save cookie settings
save and go back,Save cookie settings
save and go to site,Save cookie settings
save changes,Save cookie settings
save choice,Save cookie settings
save choices,Save cookie settings
save choices and continue,Save cookie settings
save cookie preferences,Save cookie settings
save cookie preferences & close,Save cookie settings
save cookie settings,Save cookie settings
save current settings,Save cookie settings
save custom preferences,Save cookie settings
save custom settings,Save cookie settings
save for all sites,Save cookie settings
save individual settings,Save cookie settings
save my choices,Save cookie settings
save my cookie choices,Save cookie settings
save my cookie choices and close,Save cookie settings
save my preferences,Save cookie settings
save my privacy settings,Save cookie settings
save my settings,Save cookie settings
save preferences,Save cookie settings
save preferences & exit,Save cookie settings
save preferences and close,Save cookie settings
save preferred settings,Save cookie settings
save selected,Save cookie settings
save selection,Save cookie settings
save selection options,Save cookie settings
save settings,Save cookie settings
save your preferred settings,Save cookie settings
save/close,Save cookie settings
sayollo media ltd,Other
school subscribers agreement,Other
search,Other
search engine optimisation,Other
search now,Other
section 10 - glossary,Other
section 4 - how we use your personal data,Other
security advice,Other
see cookie policy,Other
see cookies policy terms,Other
see description,Other
see details,Cookies settings
see full cookie policy,Other
see less,Other
see more,Cookies settings
see more about cookies,Other
see mps cookie policy,Other
see our analytics cookies,Other
see our cookie policies,Other
see our cookie policy,Other
see our cookie policy for full details,Other
see our cookie policy for more information,Other
see our cookie statement,Other
see our cookies page for more information,Other
see our cookies policy,Other
see our cookies privacy policy,Other
see our functional cookies,Other
see our partners,Other
see our policy,Other
see our privacy policy,Other
see our privacy statement,Other
see privacy policy,Other
see the advertising cookies used on the museum's website,Other
see the detailed description of the used cookies,Other
see the functional cookies used on the museum's website,Other
see the official website,Other
see the performance cookies used on the museum's website,Other
see the report,Other
see third party cookies,Other
segment (formerly segment.io,Other
select all,Other
select and proceed,Save cookie settings
select basic ads,Other
select cookie preferences,Cookies settings
select cookies,Cookies settings
select personalised ads,Other
sell my car,Other
selling terms & conditions,Other
send feedback,Other
send to email,Other
servers,Other
services,Other
servmetric,Other
set,Cookies settings
set cookie preferences,Cookies settings
set cookies,Cookies settings
set custom preferences,Cookies settings
set my preferences,Cookies settings
set preferences,Cookies settings
set your choices,Cookies settings
set your consent,Cookies settings
set your preferences,Cookies settings
setcustomvar,Other
settings,Cookies settings
share your feedback,Other
sharethis,Other
shopify,Other
short term loans for bad credit,Other
show all cookie details,Cookies settings
show cookie information,Cookies settings
show cookie preferences,Cookies settings
show details,Cookies settings
show more,Cookies settings
show more details,Cookies settings
show partners,Other
show preferences,Cookies settings
show purposes,Other
show settings,Cookies settings
show vendors within this category,Other
shows,Other
sign in,Other
sign me up,Other
sign up,Other
sign up as a supporter,Other
sign-in,Other
simplifi holdings inc,Other
site by catch,Other
site map,Other
site services,Other
site.adform.com/privacy-center/platform-privacy/product-and-services-privacy-policy,Other
sitecore holding ii a/s,Other
siteimprove,Other
sitemap,Other
sitescout,Other
sketchfab,Other
"skip to ""agree to all",Accept
"skip to ""save",Save cookie settings
skip to content,Other
skip to main content,Other
sluts,Other
small loans,Other
smart ict 4 schools (smartict4schools.com,Other
snap inc,Other
sno big deal,Other
social media,Other
social media cookies,Other
social media moderation guidelines,Other
social network,Other
software,Other
sonic odeeo ltd,Other
"sonobi, inc",Other
sony group companies,Other
sony pictures,Other
sounds good,Other
south cliff holiday park (southcliff.co.uk,Other
speak,Other
speakol dmcc,Other
special purposes and features,Other
specialist solutions,Other
sponsorship,Other
sporcle,Other
sport and exercise science and rehabilitation,Other
sport and fitness,Other
spotify inc,Other
spotxchange,Other
squad,Other
squeezely,Other
stackadapt privacy policy,Other
stackadaptation,Other
staff login,Other
start free trial,Other
start of menu,Other
statistical,Other
statistics,Other
statistics cookies,Other
"statistics: statistic cookies like those set by google analytics help us understand our website's traffic, content popularity and how visitors anonymously interact with our content and on-line services",Other
stericycle cookie policy,Other
strictly neccessary cookies,Other
strictly necessary,Other
strictly necessary and functional,Other
strictly necessary cookies,Other
strictly necessary cookies here,Other
strictly necessary cookies only,Reject
stripe,Other
stripe inc,Other
stroer core gmbh & co. kg,Other
student life,Other
study abroad and exchanges,Other
study with us,Other
subject access requests,Other
submit,Save cookie settings
submit preferences,Save cookie settings
subscribe,Other
subscribe to our mailing list,Other
subscriptions,Other
support sharing features on partners websites.advertising of our products on partner and social media websites,Other
support sharing features on partners websitesadvertising of our products on partner and social media websites,Other
support us,Other
sure,Accept
switch to republic of ireland,Other
symptom checker,Other
t,Other
t&c's,Other
t&cs,Other
taboola inc,Other
tag manager,Other
talkative cookies,Other
tapad inc,Other
targeted advertising cookies,Other
targeting,Other
targeting & advertising cookies,Other
targeting and advertising cookies,Other
targeting and tracking,Other
targeting cookies,Other
targeting cookies here,Other
tax adviser magazine,Other
teachingeastriding (teacheastriding.co.uk,Other
teal,Other
techsmith,Other
tel,Other
tell me more,Cookies settings
terms,Other
terms & conditions,Other
terms & conditions and privacy notice,Other
terms and conditions,Other
terms and conditions home,Other
terms of service,Other
terms of service use,Other
terms of use,Other
termsfeed,Other
th,Other
thanks for letting me know,Close/Continue without accepting
that's fine,Accept
that's ok,Accept
thats ok,Accept
the,Other
the business day (bridspa.com/thebusinessday,Other
the cookie policy,Other
the data we collect about you,Other
the fine print,Other
the following partners use this activity,Other
the information commissioners' office (ico) website,Other
the lending standards board,Other
the petplan privacy notice,Other
the trade desk,Other
the trade desk inc,Other
the trade desk privacy policy,Other
the use of cookies,Other
their partners,Other
their partners' use of cookies,Other
their private,Other
themes,Other
these cookies,Other
"these cookies allow us to count visits and traffic sources so we can measure and improve the performance of our site. they help us to know which pages are the most and least popular and see how visitors move around the site. all information these cookies collect is aggregated and therefore anonymous. if you do not allow these cookies we will not know when you have visited our site, and will not be able to monitor its performance",Other
"these cookies are essential for enabling user movement around our website and providing access to features such as your profile and purchases, log in credentials, and other areas of the website. these cookies are necessary to enable the basic features of this site to function, such as providing secure log-in, allowing images to load, or allowing you to select your cookie preferences. this category of cookies cannot be disabled",Other
"these cookies are needed for certain elements of our website to work properly, although it will generally work without these. some links may not work correctly, for example",Other
"these cookies are used to help us improve the performance of some or all pages on our website. for instance, we use google analytics to look at how people navigate through our website and use this to make improvements",Other
these cookies help us gather information about website usage. which pages are popular etc - it helps us improve customer experience,Other
these cookies help us make the website and marketing more relevant to your interests. they record pages you view and other targeting information,Other
"these cookies may be set through our site by our advertising partners. they may be used by those companies to build a profile of your interests and show you relevant adverts on other sites. they do not store directly personal information, but are based on uniquely identifying your browser and internet device. if you do not allow these cookies, you will experience less targeted advertising",Other
"these cookies will be used to track your preferences and only show adverts relevant to your interests. if you choose to disable marketing cookies, you may see ads that are less relevant to you. these ads use cookies, but not for personalization. see the list of marketing cookies used on our site below",Other
third party cookie providers,Other
third party cookies,Other
third party vendors,Other
third-party companies,Other
third-party cookies,Other
third-party providers,Other
this browser add-on,Other
"this is ok, don't tell me again",Accept
this link,Other
this privacy notice,Other
"this website (https://charitydigital.org.uk) and the heritage digital portal (https://heritage-digital.org) is run by charity digital, which is a uk-registered charity that also runs charity digital exchange and charity digital jobs. what are cookies?a cookie is a small text file placed on your computer to collect standard internet log information and visitor behaviour information. it is generated by a web server (which is basically the computer that operates a website) and can be used by that server whenever the user visits the site. a cookie can be thought of as an internet user's identification card, which tells a website when the user has returned.our cookies can't harm your computer and we don't store any personally identifiable information about you on any of our cookies.for further information visit aboutcookies.org or allaboutcookies.org. you can set your browser not to accept cookies and these websites tell you how to remove cookies from your browser.why do we use cookies on this site?this website uses two types of cookies: cookies set by charity digital and cookies set by third parties (i.e. other websites or services).charity digital's cookies enable us to keep you signed into your account throughout your visit and to tailor the information displayed on the site to your preferences, such as showing coupon codes to validated organisations.we also use third party cookies to help us analyse how people are using our site's features to improve it for future users. beyond that, we also use cookies to integrate content with our social networks, such as facebook and twitter.if you would like more information about the cookies we use, as well as details on how to opt-out, please see below",Other
this website uses cookies,Other
this website uses trusted third-party services to help us provide more relevant content to our visitors,Other
tickets,Other
tickettailor,Other
tiktok - data processor privacy policy,Other
titok,Other
to find out more about the cookies we use click here,Cookies settings
to know more and set up your cookies,Cookies settings
"to see a complete list of the companies that use these technologies and to choose whether they can be used on your device or not, access our cookie notice.you will see this message only once, but you will always be able to set your preferences at any time in the cookie consent tool",Other
toestemming,Other
toggle is currently on,Other
top,Other
tourdash,Other
towerdata inc,Other
tracer,Other
track your order,Other
tracker details page,Other
tracking,Other
tracking and performance cookies,Other
tracking and personalisation,Other
tracking cookies,Other
tradedouble,Other
trading t&cs,Other
traffic,Other
transparency,Other
transparency & accountability,Other
transparency is our priority,Other
treasure data,Other
treasury,Other
tripadvisor,Other
triple lift inc,Other
trouble shooting,Other
"trusted shops wants to use common measurement technologies for surfing behavior and cookies, also from third parties. these are used to create user profiles and display tailored content, including advertising, and to optimize our website. the data recipients may process your personal data for own purposes. your personal data may also be transferred to a third country without an adequacy decision or appropriate safeguards. information on the possible risks of such transfers can be found in the privacy policy under the section ""third countrytransfer"". we use certain technologies based on a balance of interests. by clicking on ""accept"", you explicitly consent to the processing described above and also to the transfer of data to third countries. you can reject this and withdraw your consent at any time with future effect. further information, including your right of withdrawal and objection, can be found in the cookie settings, privacy policy and in the legal notice",Other
turn cookies off,Reject
turn cookies on or off,Cookies settings
turn off data collection by google analytics,Reject
turn off personalised google ads here,Reject
twentythree,Other
twitter,Other
twitter inc,Other
twitter privacy policy,Other
twitter.com/en/privacy,Other
types of cookies,Other
u,Other
uber cookies,Other
uk consumer bank online privacy statement and cookies policy,Other
uk ico law,Other
uk web hosting,Other
ukas schedule of accreditation found here,Other
uncategorized,Other
unclassified,Other
undefined cookies are those that are being analyzed and have not been classified into a category as yet,Other
understanding cookie details,Cookies settings
understood,Accept
university on a budget,Other
update,Save cookie settings
update consent,Save cookie settings
update cookie preference,Save cookie settings
update cookie preferences,Save cookie settings
update preferences,Save cookie settings
update settings,Save cookie settings
update your cookie preferences,Save cookie settings
updated privacy policy and cookie policy,Other
use cookies,Accept
use cookies to collect information,Other
use essential cookies only,Reject
use functional cookies,Other
use my preferences,Save cookie settings
use my settings,Save cookie settings
use necessary cookies,Reject
use necessary cookies only,Reject
use necessary only,Reject
use of cookies,Other
use of cookies policy,Other
use only technical cookies,Reject
use recommended settings,Accept
use the recommended privacy settings,Accept
use this toggle to the left to manage how your browser uses performance cookies. on this website,Other
